Selling_Price(lakhs),Kms_Driven,fuel,seller_type,transmission,Past_Owners,mileage,Present_Price(lakhs),age
3.7,120000,Diesel,Individual,Manual,2.0,21.14,13.29,7
1.3,120000,Petrol,Individual,Manual,1.0,16.1,8.41,14
4.4,45000,Petrol,Individual,Manual,1.0,20.14,5.37,4
0.45,5000,Petrol,Individual,Manual,2.0,16.1,2.38,20
3.5,90000,Diesel,Individual,Manual,1.0,23.59,6.43,10
5.0,68000,Diesel,Individual,Manual,2.0,19.01,13.87,7
0.92,100000,Petrol,Individual,Manual,2.0,17.3,4.14,16
2.0,80000,Petrol,Individual,Manual,2.0,18.9,8.41,14
1.8,90000,Petrol,Individual,Manual,2.0,18.15,6.0,12
4.0,40000,Petrol,Individual,Manual,1.0,24.52,7.5,5
7.78,70000,Diesel,Individual,Manual,2.0,23.0,10.47,5
5.0,53000,Diesel,Individual,Manual,2.0,19.7,9.0,9
1.5,80000,Petrol,Individual,Manual,2.0,22.54,3.5,19
6.8,100000,Diesel,Individual,Manual,1.0,21.0,9.0,5
1.74,100000,Diesel,Individual,Manual,2.0,25.5,5.27,10
9.5,50000,Diesel,Individual,Manual,1.0,26.59,11.05,4
5.25,40000,Diesel,Individual,Manual,1.0,21.5,8.41,6
6.0,72000,Diesel,Individual,Manual,1.0,20.3,9.54,9
5.0,35000,Petrol,Individual,Manual,1.0,21.4,7.64,3
5.75,45000,Petrol,Individual,Manual,1.0,24.7,9.1,5
2.75,28000,Petrol,Individual,Manual,1.0,18.2,4.48,4
3.0,70000,Diesel,Individual,Manual,1.0,18.9,9.18,8
2.2,120000,Petrol,Individual,Manual,1.0,16.8,6.0,12
2.55,25000,Petrol,Individual,Manual,1.0,24.3,1.99,3
6.7,70000,Diesel,Individual,Manual,1.0,14.0,11.2,4
0.7,50000,Petrol,Individual,Manual,2.0,18.6,6.0,18
1.5,35000,Petrol,Individual,Manual,2.0,24.3,1.99,9
7.3,2388,Petrol,Individual,Manual,1.0,33.44,9.0,3
6.5,16200,Diesel,Individual,Manual,1.0,23.95,11.2,4
3.3,10000,CNG,Individual,Manual,2.0,17.0,4.48,2
3.66,15000,Petrol,Individual,Manual,1.0,20.63,3.4,2
1.5,42000,Petrol,Individual,Manual,1.0,16.1,6.51,5
4.25,60000,Diesel,Individual,Manual,2.0,16.0,14.0,10
1.5,76000,Petrol,Individual,Manual,1.0,17.8,2.38,9
9.25,28900,Petrol,Dealer,Manual,1.0,18.5,14.95,3
4.25,86300,Petrol,Dealer,Manual,1.0,24.3,14.95,8
6.75,23300,Petrol,Dealer,Automatic,1.0,23.95,8.41,3
8.2,32600,Diesel,Dealer,Manual,1.0,12.55,11.2,3
3.9,10300,Petrol,Dealer,Manual,1.0,12.99,3.4,3
7.0,99000,Diesel,Dealer,Manual,1.0,24.7,16.73,8
4.25,49800,Diesel,Dealer,Manual,1.0,26.0,9.99,6
6.0,54700,Diesel,Dealer,Manual,1.0,27.3,14.95,6
8.5,64000,Petrol,Dealer,Manual,1.0,11.36,11.33,3
5.25,63000,Diesel,Dealer,Manual,1.0,12.99,9.79,6
9.5,99000,Diesel,Dealer,Manual,1.0,14.28,16.73,5
2.65,120000,Diesel,Individual,Manual,1.0,21.27,8.8,10
1.9,110000,Petrol,Individual,Manual,3.0,26.59,6.55,10
4.25,60000,Diesel,Individual,Manual,1.0,18.16,9.0,8
6.0,25000,Petrol,Individual,Manual,3.0,22.0,8.19,4
6.5,30000,Petrol,Individual,Manual,1.0,25.1,9.1,2
5.4,40000,Diesel,Individual,Manual,1.0,20.51,8.0,5
4.48,30000,Petrol,Individual,Automatic,1.0,24.3,6.0,3
5.0,80000,Diesel,Individual,Manual,1.0,24.3,8.0,4
7.45,70000,Diesel,Individual,Manual,1.0,20.36,11.2,5
10.25,9850,Diesel,Individual,Automatic,1.0,25.2,11.2,2
2.35,60000,Petrol,Individual,Manual,2.0,12.55,6.55,10
6.3,70000,Diesel,Individual,Manual,1.0,22.9,8.41,5
4.5,120000,Diesel,Individual,Manual,2.0,20.54,8.41,8
4.5,120000,Petrol,Individual,Manual,2.0,12.99,10.47,9
0.5,70000,Diesel,Individual,Manual,1.0,22.77,4.26,18
6.1,90000,Diesel,Individual,Manual,1.0,19.02,11.49,6
4.85,10000,Petrol,Dealer,Manual,1.0,24.7,5.78,4
2.75,49000,Petrol,Dealer,Manual,1.0,19.81,6.51,5
3.15,32000,Petrol,Dealer,Manual,1.0,14.0,4.48,5
2.75,38000,Petrol,Dealer,Manual,1.0,26.2,4.48,5
4.75,78000,Diesel,Dealer,Manual,1.0,16.47,8.41,6
2.9,28000,Petrol,Dealer,Manual,1.0,19.81,6.55,9
2.8,32000,Petrol,Dealer,Manual,1.0,15.04,1.99,4
4.55,42000,Petrol,Dealer,Manual,1.0,18.5,9.93,6
3.51,45000,Petrol,Dealer,Manual,2.0,26.59,6.55,6
5.35,12000,Petrol,Dealer,Manual,2.0,19.1,13.68,9
1.75,55500,Petrol,Dealer,Manual,1.0,19.7,4.14,12
5.25,61500,Petrol,Dealer,Manual,1.0,22.54,9.0,8
5.65,72000,Petrol,Dealer,Automatic,1.0,18.8,5.37,5
1.2,68000,Petrol,Dealer,Manual,3.0,21.21,3.5,13
7.25,110000,Diesel,Individual,Manual,1.0,15.37,9.0,4
1.85,77000,Petrol,Dealer,Manual,2.0,21.4,6.0,12
2.0,100000,Diesel,Individual,Manual,2.0,11.79,8.8,11
6.15,10000,Petrol,Individual,Manual,1.0,19.0,8.41,2
2.7,100000,Petrol,Individual,Manual,3.0,17.0,5.18,5
6.1,35000,Petrol,Individual,Manual,1.0,14.3,9.1,3
6.25,70000,Diesel,Individual,Automatic,2.0,15.8,16.53,7
4.0,5000,Petrol,Individual,Manual,2.0,15.1,8.84,1
8.66,37800,Petrol,Individual,Manual,1.0,19.09,15.2,4
3.0,48000,Petrol,Individual,Manual,1.0,21.9,4.26,11
3.75,100000,Diesel,Individual,Manual,1.0,21.63,8.0,5
4.52,69000,Diesel,Individual,Manual,1.0,20.85,9.0,8
3.0,100000,Petrol,Individual,Manual,2.0,20.51,15.0,12
4.75,13000,Petrol,Individual,Manual,1.0,20.45,5.78,1
7.8,60000,Diesel,Individual,Manual,1.0,19.67,11.2,5
5.95,40000,Petrol,Individual,Manual,1.0,23.0,8.41,4
4.4,35000,Petrol,Individual,Manual,1.0,19.3,6.0,4
3.0,120000,Diesel,Individual,Manual,2.0,23.01,8.41,11
4.0,70000,Diesel,Individual,Manual,3.0,23.1,10.0,7
8.5,76139,Diesel,Individual,Manual,1.0,20.77,11.49,4
3.5,25000,Petrol,Individual,Manual,1.0,20.77,5.31,3
3.6,40000,Petrol,Individual,Manual,2.0,17.8,5.78,6
6.25,90000,Diesel,Individual,Manual,2.0,22.37,10.47,8
1.35,80000,Petrol,Individual,Manual,2.0,19.33,6.35,12
7.0,110000,Diesel,Individual,Manual,2.0,9.5,10.47,6
6.9,1303,Petrol,Dealer,Manual,1.0,12.83,9.99,2
8.05,49900,Petrol,Dealer,Manual,1.0,15.04,12.8,5
3.75,49000,Petrol,Individual,Manual,1.0,15.6,13.29,10
6.45,11000,Petrol,Dealer,Automatic,1.0,23.95,10.47,5
5.99,46100,Petrol,Dealer,Manual,1.0,11.36,14.95,7
8.75,18000,Petrol,Dealer,Automatic,1.0,22.69,3.4,4
8.95,9654,Petrol,Dealer,Automatic,1.0,19.16,8.41,2
1.75,11000,Petrol,Dealer,Manual,1.0,18.12,16.73,10
3.4,24300,Petrol,Dealer,Manual,1.0,12.1,12.8,9
8.5,20000,Petrol,Individual,Manual,1.0,20.51,13.68,5
3.0,100000,Diesel,Individual,Manual,2.0,16.1,8.19,10
5.75,9500,Petrol,Individual,Manual,1.0,21.1,8.41,3
1.6,120000,Diesel,Individual,Manual,1.0,18.9,6.0,10
5.15,36600,Petrol,Individual,Manual,1.0,19.44,9.0,6
3.9,50000,Petrol,Individual,Automatic,2.0,18.9,2.38,6
5.5,14000,Petrol,Individual,Manual,2.0,19.1,6.58,5
0.4,40000,Petrol,Individual,Manual,2.0,19.1,4.98,22
2.2,120000,Diesel,Individual,Manual,1.0,13.0,8.0,11
4.25,70000,Petrol,Individual,Manual,1.0,21.43,4.98,6
4.8,13000,Petrol,Individual,Manual,1.0,18.5,8.41,2
4.0,60000,Petrol,Individual,Manual,2.0,13.0,5.37,7
4.87,35000,Petrol,Individual,Manual,1.0,18.15,14.95,7
3.86,44000,Petrol,Individual,Manual,2.0,22.95,15.0,5
1.0,120000,Petrol,Individual,Manual,2.0,17.0,6.0,16
1.0,60000,Petrol,Individual,Manual,1.0,18.9,7.5,21
4.5,15000,Petrol,Individual,Manual,2.0,20.85,14.95,5
4.9,90000,Diesel,Individual,Manual,1.0,15.3,4.14,4
3.45,47000,Petrol,Individual,Manual,2.0,18.6,6.0,12
0.85,90000,Petrol,Individual,Manual,1.0,28.09,15.2,16
2.15,120600,Petrol,Individual,Manual,2.0,20.3,8.41,11
3.2,100000,Petrol,Individual,Manual,3.0,20.77,8.5,11
4.6,60000,Petrol,Individual,Manual,2.0,17.4,11.33,5
0.65,86000,Petrol,Individual,Manual,1.0,19.4,11.33,16
7.2,5000,Petrol,Individual,Manual,1.0,26.6,7.64,1
8.0,37000,Diesel,Individual,Manual,1.0,20.85,10.47,4
5.2,14000,Petrol,Individual,Manual,1.0,18.5,6.43,2
5.8,70000,Diesel,Individual,Manual,1.0,20.51,14.95,6
2.35,120000,Diesel,Individual,Manual,1.0,21.21,5.0,9
6.0,50000,Petrol,Individual,Manual,1.0,24.7,6.0,6
2.9,60000,Petrol,Individual,Manual,2.0,22.0,8.41,7
3.6,50000,CNG,Individual,Manual,1.0,20.4,9.0,5
5.5,50000,Petrol,Individual,Manual,1.0,17.6,1.99,4
3.75,70000,Petrol,Individual,Manual,1.0,18.5,6.0,8
0.4,90000,Petrol,Individual,Manual,2.0,28.4,8.41,18
4.2,35000,Petrol,Individual,Automatic,1.0,20.51,4.48,3
5.5,20000,Petrol,Individual,Manual,1.0,14.53,8.41,4
2.7,20000,Petrol,Individual,Manual,1.0,19.4,8.41,3
7.0,7800,Petrol,Individual,Automatic,1.0,21.4,14.0,3
5.0,20000,Petrol,Individual,Manual,1.0,14.1,9.0,4
3.2,31377,Petrol,Individual,Manual,2.0,25.17,6.0,8
7.0,50000,Diesel,Individual,Manual,1.0,20.63,15.0,3
2.9,60000,Petrol,Individual,Manual,1.0,24.3,5.0,6
5.5,100000,Petrol,Individual,Automatic,1.0,20.14,9.1,9
2.65,60000,Petrol,Individual,Manual,1.0,22.74,10.99,9
8.3,5000,Petrol,Individual,Automatic,1.0,17.0,3.5,3
8.0,60000,Diesel,Individual,Manual,1.0,17.57,5.31,4
1.6,25000,Petrol,Individual,Manual,2.0,16.95,6.51,10
3.35,30000,Petrol,Individual,Manual,1.0,17.0,11.2,3
3.29,80000,Petrol,Individual,Manual,2.0,19.49,5.37,4
7.75,75000,Diesel,Individual,Manual,1.0,20.51,4.48,4
5.24,32000,Petrol,Individual,Manual,1.0,12.83,9.0,1
2.45,40000,Petrol,Individual,Manual,1.0,17.21,5.75,6
2.75,93000,Petrol,Individual,Manual,2.0,21.1,8.41,9
5.2,60000,Petrol,Individual,Manual,1.0,19.67,7.07,3
1.3,120000,Petrol,Individual,Manual,2.0,25.17,11.49,13
5.5,37000,Petrol,Individual,Manual,1.0,20.77,5.99,7
9.1,15000,Petrol,Individual,Manual,1.0,15.1,6.0,3
9.0,70000,Diesel,Individual,Manual,1.0,13.2,6.58,8
2.5,110000,Diesel,Individual,Manual,2.0,12.99,5.31,11
6.4,80000,Diesel,Individual,Manual,1.0,20.36,5.18,6
4.1,13500,Petrol,Individual,Manual,1.0,24.52,7.5,4
0.8,120000,Petrol,Individual,Manual,2.0,18.5,16.73,14
