Car_Name,Selling_Price(lacs),Present_Price(lacs),Kms_Driven,Fuel_Type,Seller_Type,Transmission,Past_Owners,age
ritz,3.35,5.59,27000,Petrol,Dealer,Manual,0,7
sx4,4.75,9.54,43000,Diesel,Dealer,Manual,0,8
ciaz,7.25,9.85,6900,Petrol,Dealer,Manual,0,4
wagon r,2.85,4.15,5200,Petrol,Dealer,Manual,0,10
swift,4.6,6.87,42450,Diesel,Dealer,Manual,0,7
vitara brezza,9.25,9.83,2071,Diesel,Dealer,Manual,0,3
ciaz,6.75,8.12,18796,Petrol,Dealer,Manual,0,6
s cross,6.5,8.61,33429,Diesel,Dealer,Manual,0,6
ciaz,8.75,8.89,20273,Diesel,Dealer,Manual,0,5
ciaz,7.45,8.92,42367,Diesel,Dealer,Manual,0,6
alto 800,2.85,3.6,2135,Petrol,Dealer,Manual,0,4
ciaz,6.85,10.38,51000,Diesel,Dealer,Manual,0,6
ciaz,7.5,9.94,15000,Petrol,Dealer,Automatic,0,6
ertiga,6.1,7.71,26000,Petrol,Dealer,Manual,0,6
dzire,2.25,7.21,77427,Petrol,Dealer,Manual,0,12
ertiga,7.75,10.79,43000,Diesel,Dealer,Manual,0,5
ertiga,7.25,10.79,41678,Diesel,Dealer,Manual,0,6
ertiga,7.75,10.79,43000,Diesel,Dealer,Manual,0,5
wagon r,3.25,5.09,35500,CNG,Dealer,Manual,0,6
sx4,2.65,7.98,41442,Petrol,Dealer,Manual,0,11
alto k10,2.85,3.95,25000,Petrol,Dealer,Manual,0,5
ignis,4.9,5.71,2400,Petrol,Dealer,Manual,0,4
sx4,4.4,8.01,50000,Petrol,Dealer,Automatic,0,10
alto k10,2.5,3.46,45280,Petrol,Dealer,Manual,0,7
wagon r,2.9,4.41,56879,Petrol,Dealer,Manual,0,8
swift,3.0,4.99,20000,Petrol,Dealer,Manual,0,10
swift,4.15,5.87,55138,Petrol,Dealer,Manual,0,8
swift,6.0,6.49,16200,Petrol,Individual,Manual,0,4
alto k10,1.95,3.95,44542,Petrol,Dealer,Manual,0,11
ciaz,7.45,10.38,45000,Diesel,Dealer,Manual,0,6
ritz,3.1,5.98,51439,Diesel,Dealer,Manual,0,9
ritz,2.35,4.89,54200,Petrol,Dealer,Manual,0,10
swift,4.95,7.49,39000,Diesel,Dealer,Manual,0,7
